Date,Description,Withdrawal (DR),Deposit (CR),Balance
03/01,TSFR FUND CR-ATM/EFT 873751,0.0,15500.0,31387.33
03/01,TSFR FUND CR-ATM/EFT 963547,0.0,833.0,32220.33
03/01,DR-ECP 020248 2401031329000385,11372.6,0.0,20847.73
03/01,DR-ECP 020272 2401031323340664,833.0,0.0,20014.73
03/01,DR-ECP 020293 2401031321340775,259.7,0.0,19755.03
03/01,DR-ECP 020315 2401031319290711,3240.0,0.0,16515.03
03/01,DUITNOW TRSF DR 446446,6370.35,0.0,10144.68
04/01,TSFR FUND CR-ATM/EFT 993990,0.0,1000.0,11144.68
04/01,DUITNOW TRSF DR 013911,700.0,0.0,10444.68
04/01,DUITNOW TRSF DR 023755,350.0,0.0,10094.68
04/01,DR-ECP 965697 2401041302190654,55.35,0.0,10039.33
05/01,DUITNOW TRSF DR 016760,2500.0,0.0,7539.33
06/01,TSFR FUND DR-ATM/EFT 539339,2000.0,0.0,5539.33
08/01,DUITNOW TRSF DR 926420,300.0,0.0,5239.33
09/01,AUTOMATED LOAN PYMT TO 8025946828 AT H25,1286.0,0.0,3953.33
10/01,DUITNOW TRSF CR 028408,0.0,90000.0,93953.33
10/01,CHEQ 344401 344401,80000.0,0.0,13953.33
10/01,CHQ PROCESS FEE DR 344401,0.5,0.0,13952.83
11/01,DUITNOW TRSF DR 027656,5000.0,0.0,8952.83
12/01,DUITNOW TRSF CR 079694,0.0,176160.0,185112.83
12/01,TSFR FUND DR-ATM/EFT 902831,20.0,0.0,185092.83
12/01,DUITNOW TRSF DR 902885,176160.0,0.0,8932.83
14/01,DUITNOW TRSF CR 115298 LEE YOOK SIONG,0.0,20000.0,28932.83
14/01,TSFR FUND DR-ATM/EFT 440661,3000.0,0.0,25932.83
15/01,DUITNOW TRSF CR 021539,0.0,1700000.0,1725932.83
15/01,DUITNOW TRSF CR 082572,0.0,20000.0,1745932.83
15/01,TSFR FUND CR-ATM/EFT 075231,0.0,100000.0,1845932.83
15/01,TSFR FUND CR-ATM/EFT 075235,0.0,100000.0,1945932.83
15/01,TSFR FUND CR-ATM/EFT 075248,0.0,100000.0,2045932.83
15/01,TSFR FUND CR-ATM/EFT 075258,0.0,100000.0,2145932.83
15/01,TSFR FUND CR-ATM/EFT 075261,0.0,100000.0,2245932.83
15/01,TSFR FUND CR-ATM/EFT 075263,0.0,100000.0,2345932.83
15/01,TSFR FUND CR-ATM/EFT 075279,0.0,100000.0,2445932.83
15/01,TSFR FUND CR-ATM/EFT 075285,0.0,100000.0,2545932.83
15/01,TSFR FUND CR-ATM/EFT 075289,0.0,100000.0,2645932.83
15/01,TSFR FUND CR-ATM/EFT 075309,0.0,100000.0,2745932.83
15/01,TSFR FUND CR-ATM/EFT 077093,0.0,60000.0,2805932.83
15/01,TSFR FUND CR-ATM/EFT 077113,0.0,100000.0,2905932.83
15/01,CHEQ 344385,1650000.0,0.0,1255932.83
15/01,CHQ PROCESS FEE DR 344385,0.5,0.0,1255932.33
15/01,CHEQ 344386 344386,30000.0,0.0,1225932.33
15/01,CHQ PROCESS FEE DR 344386,0.5,0.0,1225931.83
15/01,DUITNOW TRSF DR 088389 LAU HAN WEI,60000.0,0.0,1165931.83
15/01,DUITNOW TRSF DR 088509 YEE CHEE MING,25000.0,0.0,1140931.83
15/01,DUITNOW TRSF DR 091422,100000.0,0.0,1040931.83
15/01,DUITNOW TRSF DR 091559,1000000.0,0.0,40931.83
15/01,TSFR FUND DR-ATM/EFT 199127,30000.0,0.0,10931.83
16/01,DUITNOW TRSF DR 927403,1500.0,0.0,9431.83
17/01,TSFR FUND CR-ATM/EFT 053565,0.0,15000.0,24431.83
17/01,DUITNOW TRSF DR 067657,15000.0,0.0,9431.83
18/01,DUITNOW TRSF CR 088369,0.0,700.0,10131.83
18/01,DUITNOW TRSF DR 675043,1000.0,0.0,9131.83
19/01,DUITNOW TRSF DR 290904,500.0,0.0,8631.83
19/01,DUITNOW TRSF DR 291018,500.0,0.0,8131.83
22/01,DUITNOW TRSF CR 030645,0.0,250000.0,258131.83
22/01,TSFR FUND CR-ATM/EFT 610882,0.0,50000.0,308131.83
22/01,CHEQ 344387 344387,300000.0,0.0,8131.83
22/01,CHQ PROCESS FEE DR 344387,0.5,0.0,8131.33
24/01,TSFR FUND CR-ATM/EFT 104240,0.0,22000.0,30131.33
24/01,TSFR FUND DR-ATM/EFT 217077,2000.0,0.0,28131.33
24/01,DUITNOW TRSF DR 217095,2619.0,0.0,25512.33
24/01,DUITNOW TRSF DR 217448,1650.0,0.0,23862.33
24/01,DUITNOW TRSF DR 217770,5558.55,0.0,18303.78
24/01,DUITNOW TRSF DR 218087,1324.85,0.0,16978.93
24/01,DUITNOW TRSF DR 218664,1324.85,0.0,15654.08
24/01,DUITNOW TRSF DR 218992,1766.35,0.0,13887.73
24/01,DUITNOW TRSF DR 219215,1300.0,0.0,12587.73
